#sommet;position;couleur;etiquette
0;83.7316055298 89.1114273071;255 171 2 200;Fiat Partecipazioni S.p.A. 
1;66.9597930908 86.7040252686;130 133 255 200;Fiat Auto Holdings B.V. 
2;7.76511383057 86.2225799561;95 96 255 200;Inmap 2000 Espana S.L. 
3;1.0 87.987991333;75 75 255 200;Andalcar Motor S.L. 
4;41.0268859863 73.8644256592;174 178 230 200;Fidis S.p.A. 
5;33.8389587402 72.2595367432;75 75 255 200;Banco Fidis de Investimento SA 
6;35.389289856 66.642250061;75 75 255 200;Clickar Assistance S.R.L. 
7;51.3154830933 89.1114273071;246 128 0 200;Fiat Auto S.p.A. 
8;43.4228553772 89.5928726196;75 75 255 200;Easy Drive S.r.l. 
9;48.0738677979 100.02507019;88 89 255 200;Fiat Auto Argentina S.A. 
10;52.5839385986 105.321395874;88 89 255 200;Fiat Automoveis S.A. - FIASA 
11;31.4429779053 78.3582763672;150 155 255 200;Fiat Finance Netherlands B.V. 
12;22.2818908691 71.6175537109;88 89 255 200;Fiat Auto (Belgio) S.A. 
13;37.362449646 94.086730957;109 111 255 200;Fidis Renting Italia S.p.A. 
14;29.8926467896 93.4447479248;75 75 255 200;Fiat Auto Contracts Ltd 
15;16.6443099976 65.5188217163;75 75 255 200;Fiat Auto Dealer Financing SA 
16;18.1946487427 83.0126800537;102 104 255 200;Fiat Auto España S.A. 
17;34.4027137756 68.086730957;75 75 255 200;Fiat Auto Financial Services (Wholesale) Ltd. 
18;25.2416267395 81.889251709;75 75 255 200;Fiat Auto Hellas S.A. 
19;26.7919616699 72.4200744629;75 75 255 200;Fiat Auto (Ireland) Ltd. 
20;54.9799156189 93.9263458252;75 75 255 200;Fiat Auto Japan K.K. 
21;45.1141319275 80.6052856445;81 82 255 200;Fiat Auto Kreditbank GmbH 
22;31.020160675 97.6176528931;75 75 255 200;Fiat Auto Lease N.V. 
23;51.5973625183 95.0497817993;75 75 255 200;Fiat Auto Maroc S.A. 
24;61.3222045898 78.8398742676;81 82 255 200;Fiat Auto Nederland B.V. 
25;43.8456726074 96.6546859741;81 82 255 200;Fiat Auto Poland S.A. 
26;24.114112854 69.0496368408;88 89 255 200;Fiat Auto Portuguesa S.A. 
27;54.4161529541 96.1732025146;75 75 255 200;Fiat Auto South Africa (Proprietary) Ltd 
28;40.322177887 87.3460159302;88 89 255 200;Fiat Auto (Suisse) S.A. 
29;53.570514679 82.5312271118;75 75 255 200;Fiat Auto Trasporti S.r.l. 
30;22.1409606934 78.8398742676;81 82 255 200;Fiat Auto (U.K.) Ltd 
31;46.523525238 96.3337097168;75 75 255 200;Fiat Auto Var S.r.l. 
32;34.2617759705 63.2718086243;95 96 255 200;Fiat Automobil AG 
33;24.5369338989 76.9139251709;75 75 255 200;Fiat Automobil GmbH 
34;29.1879425049 53.9631729126;81 82 255 200;Fiat Automobil Vertriebs GmbH 
35;25.2416267395 74.8274688721;75 75 255 200;Fiat Automobiler Danmark A/S 
36;52.4430007935 97.4571685791;75 75 255 200;Fiat Center Italia S.p.A. 
37;32.9933166504 87.6670761108;75 75 255 200;Fiat Center (Suisse) S.A. 
38;47.0872955322 91.1978912354;75 75 255 200;Fiat CR Spol. S.R.O. 
39;35.671169281 70.654510498;75 75 255 200;Fiat Credit Belgio S.A. 
40;38.7718467712 64.5557785034;75 75 255 200;Fiat Credito Compania Financiera S.A. 
41;20.3087463379 61.8274612427;75 75 255 200;Fiat Distribuidora Portugal S.A. 
42;33.5570755005 69.6916275024;75 75 255 200;Fiat Finance Holding S.A. 
43;18.0537109375 74.0249481201;109 111 255 200;Fiat France 
44;27.2147903442 55.7285804749;81 82 255 200;Fiat Handlerservice GmbH 
45;48.9195098877 79.0002670288;88 89 255 200;Fiat India Automobiles Private Limited 
46;51.3154830933 80.6052856445;81 82 255 200;Fiat India Private Ltd. 
47;48.3557434082 96.3337097168;75 75 255 200;Fiat Magyarorszag Kereskedelmi KFT. 
48;15.0939712524 79.3213272095;75 75 255 200;Fiat Motor Sales Ltd 
49;65.4094543457 81.889251709;75 75 255 200;Fiat Purchasing Italia S.r.l. 
50;65.2685165405 93.2843551636;75 75 255 200;FIAT Purchasing Poland Sp. z o.o. 
51;48.6376304626 93.4447479248;75 75 255 200;Fiat SR Spol. SR.O. 
52;46.523525238 59.5804672241;81 82 255 200;Fiat Versicherungsdienst GmbH 
53;59.4899864197 58.9384803772;102 104 255 200;Rimaco S.A. 
54;24.8188095093 79.4817199707;75 75 255 200;Fidis Credit Danmark A/S 
55;57.3758926392 71.9384841919;75 75 255 200;Fidis Dealer Services B.V. 
56;34.684589386 74.1854858398;75 75 255 200;Fidis Faktoring Polska Sp. z o.o. 
57;40.8859367371 64.3952484131;75 75 255 200;Fidis Finance Polska Sp. z o.o. 
58;42.2953338623 66.0002593994;75 75 255 200;Fidis Hungary KFT 
59;31.3020401001 99.8645858765;75 75 255 200;Finplus Renting S.A. 
60;11.2885971069 71.9384841919;75 75 255 200;International Metropolitan Automotive Promotion (France) S.A. 
61;15.5167922974 67.765663147;75 75 255 200;Italian Automotive Center S.A. 
62;29.7517051697 95.5312271118;75 75 255 200;Leasys S.p.A. 
63;1.0 84.938621521;75 75 255 200;Multipoint Sevilla S.A. 
64;43.9866142273 91.8398742676;75 75 255 200;Sata-Società Automobilistica Tecnologie Avanzate S.p.A. 
65;28.2013664246 97.4571685791;81 82 255 200;Savarent Società per Azioni 
66;10.1610717773 73.222442627;75 75 255 200;des Concessionnaires s.a.s. 
67;36.7986907959 68.7287139893;75 75 255 200;Tarfin S.A. 
68;38.067150116 66.1607971191;75 75 255 200;Targa Rent S.r.l. 
69;12.5570526123 87.987991333;75 75 255 200;Targasys Espana S.L. 
70;10.8657836914 83.1732025146;75 75 255 200;Targasys Stock SA 
71;91.483291626 71.45703125;183 186 219 200;Fiat S.p.A. 
72;104.872573853 58.7779464722;109 111 255 200;Ferrari S.p.A. 
73;135.597412109 34.0619125366;88 89 255 200;Ferrari West Europe S.A. 
74;140.530303955 28.7655410767;75 75 255 200;Charles Pozzi S.a.r.l. 
75;117.41620636 47.3828315735;109 111 255 200;Ferrari International S.A. 
76;121.221572876 39.3581504822;75 75 255 200;Ferrari Deutschland GmbH 
77;123.89944458 42.4075241089;75 75 255 200;Ferrari GB Limited 
78;109.241714478 54.1236991882;75 75 255 200;Ferrari GE.D. S.p.A. 
79;112.060493469 49.7903671265;88 89 255 200;Ferrari N.America Inc. 
80;116.288696289 42.4075241089;75 75 255 200;Ferrari San Francisco Inc. 
81;124.46321106 44.3334617615;75 75 255 200;Ferrari (Suisse) SA 
82;127.141052246 40.16065979;81 82 255 200;Société Française de Participations Ferrari - S.F.P.F. S.A.R.L. 
83;122.912857056 40.3211860657;75 75 255 200;GSA-Gestions Sportives Automobiles S.A. 
84;142.362548828 31.0124053955;75 75 255 200;Pozzi Rent Snc 
85;117.979972839 43.8520202637;75 75 255 200;410 Park Display Inc. 
86;87.6779327393 104.037437439;109 111 255 200;Fiat Netherlands Holding N.V. 
87;97.2618255615 131.64251709;255 229 89 200;CNH Global N.V. 
88;104.872573853 144.80305481;109 111 255 200;CNH Australia Pty Limited 
89;106.845733643 152.506820679;75 75 255 200;Austoft Industries Limited 
90;103.322242737 139.025238037;88 89 255 200;Banco CNH Capital S.A. 
91;101.067199707 142.556045532;88 89 255 200;CNH Latin America Ltda. 
92;133.765213013 149.93888855;255 200 45 200;CNH America LLC 
93;140.107513428 157.963577271;81 82 255 200;Bli Group Inc. 
94;144.899459839 163.580871582;75 75 255 200;Blue Leaf I.P. Inc. 
95;128.268585205 152.025222778;75 75 255 200;Case Brazil Holdings Inc. 
96;158.570617676 140.790634155;130 133 255 200;CNH Capital America LLC 
97;162.235046387 145.765945435;75 75 255 200;Case Canada Receivables, Inc. 
98;111.073928833 148.815460205;75 75 255 200;Case Credit Australia Investments Pty Ltd 
99;166.745117188 136.457305908;88 89 255 200;Case Credit Holdings Limited 
100;134.751800537 163.901916504;102 104 255 200;Case Equipment Holdings Limited 
101;130.664535522 145.123962402;75 75 255 200;Case Equipment International Corporation 
102;139.825622559 144.161071777;75 75 255 200;Case Europe S.a.r.l. 
103;136.020248413 157.161056519;75 75 255 200;Case Harvesting Systems GmbH 
104;137.147766113 144.963562012;75 75 255 200;Case India Limited 
105;134.047103882 144.963562012;75 75 255 200;Case International Marketing Inc. 
106;143.067230225 149.296920776;81 82 255 200;Case LBX Holdings Inc. 
107;140.389389038 148.975845337;75 75 255 200;Case Machinery (Shanghai) Co. Ltd. 
108;115.724937439 141.111694336;81 82 255 200;Case New Holland Inc. 
109;137.852478027 159.568450928;81 82 255 200;Case United Kingdom Limited 
110;103.745056152 153.148788452;81 82 255 200;New Holland Holdings Argentina S.A. 
111;105.577278137 161.815460205;75 75 255 200;CNH Argentina S.A. 
112;98.2484130859 144.000534058;95 96 255 200;CNH Asian Holding Limited 
113;94.1611480713 150.741271973;137 140 255 200;CNH International S.A. 
114;96.4161911011 161.975982666;81 82 255 200;CNH Baumaschinen GmbH 
115;93.8792800903 162.136383057;81 82 255 200;CNH Belgium N.V. 
116;108.677947998 134.852432251;102 104 255 200;CNH Canada, Ltd. 
117;146.731674194 144.963562012;88 89 255 200;CNH Capital LLC 
118;108.818885803 155.235137939;81 82 255 200;CNH Capital Australia Pty Limited 
119;94.5839767456 138.062316895;75 75 255 200;CNH Capital Benelux 
120;171.114242554 131.963439941;75 75 255 200;CNH Capital Canada Ltd. 
121;93.4564666748 140.630096436;81 82 255 200;CNH Capital plc 
122;90.7785949707 147.531478882;75 75 255 200;CNH Capital (Europe) plc 
123;161.812225342 134.691894531;75 75 255 200;CNH Capital Insurance Agency Inc. 
124;163.785385132 144.321594238;75 75 255 200;CNH Capital RACES LLC 
125;165.335723877 141.9140625;75 75 255 200;CNH Capital Receivables LLC 
126;104.026939392 130.358566284;75 75 255 200;CNH Capital U.K. Ltd 
127;138.416229248 143.037643433;75 75 255 200;CNH Componentes, S.A. de C.V. 
128;90.3557815552 157.321594238;75 75 255 200;CNH Danmark A/S 
129;98.1074676514 157.803039551;75 75 255 200;CNH Deutschland GmbH 
130;141.79876709 155.55619812;81 82 255 200;CNH Engine Corporation 
131;104.449752808 132.605438232;75 75 255 200;CNH Financial Services 
132;101.349075317 132.444885254;75 75 255 200;CNH Financial Services A/S 
133;91.201423645 158.926467896;75 75 255 200;CNH Financial Services GmbH 
134;96.6980667114 139.185760498;75 75 255 200;CNH Financial Services S.r.l. 
135;96.5571289062 159.247543335;75 75 255 200;CNH France S.A. 
136;108.255126953 130.198028564;81 82 255 200;CNH Italia s.p.a. 
137;95.0067901611 157.803039551;75 75 255 200;CNH Maquinaria Spain S.A. 
138;95.2886810303 127.951171875;75 75 255 200;CNH Osterreich GmbH 
139;93.7383346558 171.284637451;75 75 255 200;CNH Polska Sp. z o.o. 
140;93.3155212402 158.926467896;75 75 255 200;CNH Portugal-Comercio de Tractores e Maquinas Agricolas Ltda 
141;158.993438721 134.370819092;75 75 255 200;CNH Receivables LLC 
142;108.959831238 144.161071777;75 75 255 200;CNH Serviços Técnicos e Desenvolvimento de Negocios Ltda 
143;92.3289337158 136.296783447;75 75 255 200;CNH Trade N.V. 
144;85.1410140991 156.198150635;88 89 255 200;New Holland Holding Limited 
145;76.4027481079 152.346298218;81 82 255 200;CNH U.K. Limited 
146;163.503479004 136.938751221;75 75 255 200;CNH Wholesale Receivables LLC 
147;134.047103882 158.12411499;75 75 255 200;Fiatallis North America LLC 
148;114.87928772 137.741256714;75 75 255 200;Flexi-Coil (U.K.) Limited 
149;99.2349853516 151.704299927;75 75 255 200;Harbin New Holland Tractors Co., Ltd. 
150;136.724945068 141.753662109;75 75 255 200;HFI Holdings Inc. 
151;172.664581299 135.654785156;75 75 255 200;JV Uzcaseagroleasing LLC 
152;138.134338379 170.803192139;75 75 255 200;JV UzCaseMash LLC 
153;132.637695312 171.284637451;75 75 255 200;JV UzCaseService LLC 
154;136.302139282 172.247528076;75 75 255 200;JV UzCaseTractor LLC 
155;142.503479004 152.667205811;81 82 255 200;New Holland Excavator Holdings LLC 
156;149.268585205 155.395629883;75 75 255 200;Kobelco Construction Machinery America LLC 
157;117.839027405 129.07460022;88 89 255 200;New Holland Kobelco Construction Machinery S.p.A. 
158;124.322265625 126.988136292;75 75 255 200;Kobelco Construction Machinery Europe BV in liquidazione 
159;92.4698867798 132.444885254;75 75 255 200;MBA AG 
160;110.510162354 150.741271973;75 75 255 200;New Holland Australia Pty Ltd 
161;111.355804443 163.09942627;75 75 255 200;New Holland Credit Australia Pty Limited 
162;152.228317261 142.556045532;75 75 255 200;New Holland Credit Company, LLC 
163;124.604141235 129.556045532;75 75 255 200;New Holland Kobelco Construction Machinery Belgium SA 
164;98.812171936 136.457305908;75 75 255 200;New Holland Ltd 
165;84.8591384888 164.704284668;75 75 255 200;New Holland Tractor Ltd. N.V. 
166;97.1208953857 150.901794434;75 75 255 200;New Holland Tractors (India) Private Ltd 
167;97.825592041 170.482116699;75 75 255 200;O & K - Hilfe GmbH 
168;137.852478027 147.531478882;75 75 255 200;Pryor Foundry Inc. 
169;164.067260742 139.50668335;75 75 255 200;Receivables Credit II Corporation 
170;134.188049316 172.408050537;75 75 255 200;RosCaseMash 
171;101.349075317 150.741271973;75 75 255 200;Shanghai New Holland Agricultural Machinery Corporation Limited 
172;82.3222198486 93.6052856445;75 75 255 200;Fiat Powertrain Technologies S.p.A. 
173;64.704750061 77.0743255615;81 82 255 200;Fiat Powertrain Italia S.r.l. 
174;62.7316055298 69.5310821533;75 75 255 200;FMA - Fabbrica Motori Automobilistici S.r.l. 
175;67.8054199219 79.9633026123;75 75 255 200;Powertrain Mekanik Sanayi ve Ticaret Limited Sirketi 
176;58.6443481445 137.741256714;229 40 0 200;Iveco S.p.A. 
177;51.3154830933 133.728851318;75 75 255 200;Amce-Automotive Manufacturing Co.Ethiopia 
178;61.6040878296 145.605560303;75 75 255 200;Astra Veicoli Industriali S.p.A. 
179;46.6644668579 120.728866577;95 96 255 200;Iveco Magirus Brandschutztechnik GmbH 
180;39.4765434265 123.457260132;75 75 255 200;Brandschutztechnik Gorlitz GmbH 
181;58.5034103394 119.926383972;95 96 255 200;Iveco Eurofire (Holding) GmbH 
182;52.4430007935 117.358474731;75 75 255 200;C.A.M.I.V.A. Constructeurs Associés de Matériels S.A. 
183;56.6711959839 159.568450928;166 170 241 200;Iveco España S.L. 
184;53.7114486694 168.87727356;75 75 255 200;Componentes Mecanicos S.A. 
185;67.100730896 115.914031982;88 89 255 200;Iveco Investitions GmbH 
186;62.44972229 115.432548523;75 75 255 200;Effe Grundbesitz GmbH 
187;52.7248725891 132.123962402;75 75 255 200;Elettronica Trasporti Commerciali S.r.l. (Eltrac S.r.l.) 
188;62.3087768555 150.259796143;88 89 255 200;Iveco Participations S.A. 
189;63.8591156006 158.926467896;75 75 255 200;Euromoteurs S.A. 
190;78.0940246582 134.852432251;81 82 255 200;European Engine Alliance S.c.r.l. 
191;59.4899864197 170.963577271;81 82 255 200;Société Charolaise de Participations S.A. 
192;61.6040878296 179.469848633;75 75 255 200;Heuliez Bus S.A. 
193;65.5503997803 111.580680847;75 75 255 200;IAV-Industrie-Anlagen-Verpachtung GmbH 
194;60.4765625 167.593292236;75 75 255 200;Ikarus Egyedi Autobusz GY 
195;57.6577720642 183.161193848;81 82 255 200;Ikarusbus Jamugyarto RT 
196;58.5034103394 190.543899536;75 75 255 200;Ikarus Trade Kft. 
197;56.5302505493 173.210571289;88 89 255 200;Irisbus Italia S.p.A. 
198;70.4832763672 129.235122681;95 96 255 200;S.A. Iveco Belgium N.V. 
199;74.0067749023 135.333877563;75 75 255 200;Industrial Vehicles Center Hainaut S.A. 
200;58.7852897644 166.790771484;75 75 255 200;Irisbus Australia Pty. Ltd. 
201;49.3423271179 153.790771484;150 155 255 200;Iveco France S.A. 
202;46.6644668579 163.09942627;75 75 255 200;Irisbus Benelux Ltd. 
203;55.9664916992 168.87727356;75 75 255 200;Irisbus Deutschland GmbH 
204;61.4631462097 166.309326172;75 75 255 200;Irisbus (U.K.) Ltd 
205;77.1074447632 126.025222778;81 82 255 200;IVC Brabant N.V. S.A. 
206;80.3490600586 118.481933594;95 96 255 200;Iveco Nederland B.V. 
207;83.590675354 127.469581604;88 89 255 200;Iveco (Schweiz) AG 
208;85.8457183838 132.926483154;75 75 255 200;IVC Nutzfahrzeuge AG 
209;83.7316055298 134.691894531;75 75 255 200;IVC Véhicules Industriels S.A. 
210;58.7852897644 149.617843628;81 82 255 200;Iveco Argentina S.A. 
211;60.194683075 146.568466187;75 75 255 200;Iveco Austria GmbH 
212;71.4698638916 120.086883545;143 148 255 200;Iveco Magirus AG 
213;76.5436859131 122.975784302;75 75 255 200;Iveco Bayern GmbH 
214;41.5906410217 141.272094727;116 118 255 200;Iveco Partecipazioni Finanziarie S.r.l. 
215;33.9798927307 140.630096436;75 75 255 200;Iveco Contract Services Limited 
216;56.5302505493 141.432617188;75 75 255 200;Iveco Danmark A/S 
217;44.4094352722 158.445037842;75 75 255 200;Iveco Est Sas 
218;55.1208572388 121.531326294;81 82 255 200;Iveco Fiat Brasil Ltda 
219;58.3624687195 131.000549316;75 75 255 200;Iveco Finland OY 
220;46.6644668579 144.161071777;102 104 255 200;Iveco Holdings Limited 
221;28.4832496643 145.926483154;81 82 255 200;Iveco International Trade Finance S.A. 
222;64.1409912109 139.346282959;75 75 255 200;Iveco Latin America Ltda 
223;39.8993644714 148.815460205;81 82 255 200;Iveco Limited 
224;48.6376304626 161.654922485;75 75 255 200;Iveco L.V.I. S.a.s. 
225;51.879234314 120.407875061;75 75 255 200;Iveco Mezzi Speciali S.p.A. 
226;53.2886390686 147.210449219;81 82 255 200;Iveco Motorenforschung AG 
227;62.5906524658 141.753662109;75 75 255 200;Iveco Motors of North America Inc. 
228;71.4698638916 125.383247375;75 75 255 200;Iveco Nord Nutzfahrzeuge GmbH 
229;75.1342926025 117.037475586;75 75 255 200;Iveco Nord-Ost Nutzfahrzeuge GmbH 
230;52.161113739 139.185760498;75 75 255 200;Iveco Norge A.S. 
231;65.2685165405 142.716583252;75 75 255 200;Iveco Otomotiv Ticaret A.S. 
232;39.4765434265 147.04989624;81 82 255 200;Iveco Pension Trustee Ltd 
233;50.7517242432 141.432617188;75 75 255 200;Iveco Poland Ltd. 
234;62.1678390503 136.457305908;75 75 255 200;Iveco Portugal-Comercio de Veiculos Industriais S.A. 
235;65.2685165405 136.457305908;75 75 255 200;Iveco South Africa (Pty) Ltd. 
236;74.2886581421 125.383247375;75 75 255 200;Iveco Sud-West Nutzfahrzeuge GmbH 
237;54.6980361938 143.358551025;75 75 255 200;Iveco Sweden A.B. 
238;53.8523979187 137.099273682;75 75 255 200;Iveco Trucks Australia Limited 
239;54.2752151489 131.481994629;75 75 255 200;Iveco Ukraine Inc. 
240;64.1409912109 147.37097168;81 82 255 200;Iveco Venezuela C.A. 
241;66.8188476562 119.765899658;75 75 255 200;Iveco West Nutzfahrzeuge GmbH 
242;42.4362792969 162.77835083;81 82 255 200;Karosa A.S. 
243;37.5033874512 169.519226074;75 75 255 200;Karosa r.s.o. 
244;39.1946678162 121.210357666;75 75 255 200;Lohr-Magirus Feuerwehrtechnik GmbH 
245;56.248374939 166.951324463;75 75 255 200;Mediterranea de Camiones S.L. 
246;53.1476974487 144.80305481;75 75 255 200;Officine Brennero S.p.A. 
247;42.5772171021 159.728988647;81 82 255 200;S.C.I. La Méditerranéenne 
248;44.2684936523 161.173461914;81 82 255 200;Société de Diffusion de Vehicules Industriels-SDVI S.A.S. 
249;41.7315826416 150.099273682;75 75 255 200;Seddon Atkinson Vehicles Ltd 
250;51.5973625183 143.519104004;75 75 255 200;Sicca S.p.A. 
251;33.2751922607 142.3956604;75 75 255 200;Transolver Service S.A. 
252;34.8255348206 145.765945435;75 75 255 200;Transolver Service S.p.A. 
253;34.2617759705 143.840011597;75 75 255 200;Transolver Services GmbH 
254;39.1946678162 144.80305481;75 75 255 200;Trucksure Services Ltd 
255;42.1543960571 155.877105713;75 75 255 200;Franciliens-UVIF SAS 
256;51.5973625183 165.667327881;75 75 255 200;Zona Franca Alari Sepauto S.A. 
257;66.2550888062 158.605560303;75 75 255 200;2 H Energy S.A.S. 
258;80.2081222534 43.0495071411;255 251 121 200;Magneti Marelli Holding S.p.A. 
259;76.4027481079 23.1482467651;130 133 255 200;Automotive Lighting Reutlingen GmbH 
260;74.8524093628 13.8395996094;75 75 255 200;Automotive Lighting Brotterode GmbH 
261;76.1208724976 44.1729278564;75 75 255 200;Holding GmbH in liquidazione 
262;75.9799346924 15.1235656738;75 75 255 200;Automotive Lighting Italia S.p.A. 
263;72.738319397 14.0;75 75 255 200;Automotive Lighting o.o.o. 
264;70.6242294312 16.2470016479;75 75 255 200;Automotive Lighting Polska Sp. z o.o. 
265;74.2886581421 9.5061340332;95 96 255 200;Automotive Lighting Rear Lamps Italia S.p.A. 
266;70.6242294312 1.80249786377;75 75 255 200;Automotive Lighting Rear Lamps Deutschland GmbH 
267;72.8792572021 1.0;75 75 255 200;Automotive Lighting Rear Lamps France S.A. 
268;84.8591384888 38.2347183228;75 75 255 200;Automotive Lighting UK Limited 
269;73.8658370972 45.9384841919;75 75 255 200;Fiat CIEI S.p.A. 
270;72.5973739624 16.0864639282;75 75 255 200;Iluminacao Automotiva Ltda 
271;88.9463806152 14.1605148315;95 96 255 200;Yorka de Mexico S.r.l. de CV 
272;93.0336380005 6.938331604;75 75 255 200;Industrial Yorka de Mexico S.A. de C.V. 
273;89.0873184204 5.33332061768;75 75 255 200;Industrial Yorka de Tepotzotlan S.A. de C.V. 
274;61.1812667847 18.493850708;88 89 255 200;Magneti Marelli Sistemas Electronicos Mexico S.A. 
275;57.3758926392 10.4691543579;75 75 255 200;Industrias Magneti Marelli Mexico S.A. de C.V. 
276;69.9195251465 40.4815864563;88 89 255 200;Magneti Marelli do Brasil Industria e Comercio SA 
277;62.44972229 40.000125885;75 75 255 200;Kadron S/A 
278;78.6577911377 33.2594070435;81 82 255 200;Magneti Marelli After Market S.p.A. 
279;82.7450332642 36.7902259827;75 75 255 200;Magneti Marelli Argentina S.A. 
